38 Province,School Enrolment Rate (SER) by Province,,,,,,,,,,,,,,,,,,,
,7/12/2001,,,,,13-15,,,,,16-18,,,,,19-24,,,,
,2019,2020,2021,2022,2023,2019,2020,2021,2022,2023,2019,2020,2021,2022,2023,2019,2020,2021,2022,2023
ACEH,99.75,99.84,99.67,99.44,99.43,98.52,98.49,98.42,97.96,97.72,83.26,83.27,83.28,83.1,83.41,32.54,32.5,32.61,31.72,33.1
SUMATERA UTARA,99.41,99.44,99.32,99.5,99.51,96.89,97.04,96.99,96.78,96.76,77.67,78.21,78.66,78.66,79.25,25.75,26.98,27.05,26.6,28.61
SUMATERA BARAT,99.52,99.61,99.61,99.55,99.76,96.23,96.6,96.63,96.52,96.79,83.63,83.68,84.07,83.71,84.33,35.66,35.96,36.41,35.41,38.08
RIAU,99.36,99.53,99.65,99.61,99.65,95.37,95.53,95.66,95.72,95.89,77.29,77.42,77.81,77.32,78.15,28.16,28.35,28.79,28.65,30.07
JAMBI,99.7,99.82,99.66,99.33,99.49,96.42,96.41,96.39,96.2,96.01,71.97,72.37,72.5,72.53,72.46,23.32,23.75,24.14,23.35,23.98
SUMATERA SELATAN,99.71,99.71,99.65,99.38,99.41,94.51,94.61,94.85,95.06,95.27,70.29,70.91,71.53,70.93,71.71,18.07,18.45,18.81,18.61,19.79
BENGKULU,99.77,99.78,99.76,99.49,99.42,97.18,97.49,97.49,97.73,97.91,79.39,79.72,79.75,79.31,79.57,30.71,29.99,30.46,29.42,30.74
LAMPUNG,99.8,99.74,99.53,99.56,99.61,94.89,95.24,95.58,95.63,95.93,71.05,71.34,71.72,71.14,71.74,20.69,21.04,21.17,20.72,21.66
KEP. BANGKA BELITUNG,99.76,99.7,99.47,99.41,99.51,92.87,93.34,93.17,93,93.2,67.79,67.75,68.15,68.42,69.53,17.01,17.47,18.02,17.68,17.59
KEP. RIAU,99.48,99.55,99.62,99.28,99.29,98.5,98.82,98.85,99.01,99.07,84.04,84.62,84.4,84.54,84.97,18.98,19.71,19.83,19.5,20.51
DKI JAKARTA,99.63,99.64,99.53,99.44,99.49,98.33,98.34,98.68,97.95,98.17,72.01,72.11,72.32,72.1,72.5,24.52,25.01,24.92,24.89,26.52
JAWA BARAT,99.53,99.66,99.5,99.39,99.4,94.18,94.45,95.09,95.27,95.75,67.29,67.74,67.8,68.66,68.58,22.71,22.84,23.51,23.99,24.72
JAWA TENGAH,99.77,99.73,99.66,99.58,99.57,96.11,96.37,96.84,96.77,97.08,69.65,70.14,70.79,70.82,70.87,22.41,22.41,23.55,23.76,24.59
DI YOGYAKARTA,99.9,99.89,99.7,99.59,99.63,99.56,99.45,99.43,99.01,98.88,88.97,88.95,89.63,89.95,91.17,51.85,51.81,51.41,50.43,51.6
JAWA TIMUR,99.65,99.54,99.4,99.14,99.28,97.43,97.68,97.76,97.64,97.64,72.74,73.05,74.14,73.4,74.07,24.8,25.81,26.27,26.21,26.53
BANTEN,99.44,99.4,99.45,99.33,99.43,95.79,95.77,96.77,96.39,96.65,68.72,68.76,68.94,69.22,69.64,21.43,21.6,21.59,22.14,23.72
BALI,99.74,99.57,99.7,99.55,99.61,97.72,98.21,98.22,97.85,97.95,82.83,82.96,83.96,83.84,84.73,27.86,28.67,28.95,30.18,30.92
NUSA TENGGARA BARAT,99.46,99.52,99.52,99.17,99.46,97.92,98.32,98.34,97.74,97.95,77.51,77.64,77.49,77.43,77.46,25.59,25.97,26.22,25.64,26.42
NUSA TENGGARA TIMUR,98.47,98.57,98.42,98.59,98.62,95.11,95.25,95.32,94.83,94.89,75.36,75.52,75.77,75.55,75.93,29.27,29.52,30.54,29.36,30.68
KALIMANTAN BARAT,98.52,98.6,98.64,98.73,98.81,92.85,92.9,93.14,92.64,92.92,68.37,68.96,69.38,68.72,69.25,23.69,24.05,24.57,24.5,25.08
KALIMANTAN TENGAH,99.66,99.49,99.55,99.2,99.13,94.09,94.86,95.21,94.61,95.21,66.95,66.92,66.7,66.32,66.32,23.98,24.26,24.47,24.29,23.27
KALIMANTAN SELATAN,99.53,99.48,99.38,99.43,99.3,92.83,93.04,93.5,94.01,94.12,69.19,69.38,69.31,69.88,69.95,24.34,24.63,24.7,24.52,27.18
KALIMANTAN TIMUR,99.68,99.73,99.6,99.57,99.64,98.83,99.07,98.9,98.75,98.71,81.81,81.88,82.01,81.43,81.5,29.89,29.71,29.86,29.33,32.33
KALIMANTAN UTARA,98.82,98.94,98.67,98.98,99.22,96.5,96.52,96.51,97.03,96.96,76.06,76.08,76.5,76.5,77.03,23.11,23.82,25.02,25.62,27.63
SULAWESI UTARA,99.39,99.59,99.37,99.34,99.34,95.18,95.27,95.41,94.86,95,74.04,74.12,73.86,74.33,74.55,22.55,23.18,23.67,23.43,23.57
SULAWESI TENGAH,98.4,98.38,98.5,98.22,98.34,93.01,93.13,93.32,93.02,93.13,75.73,75.89,76.32,75.84,76.29,27.39,27.58,28.22,27.04,27.58
SULAWESI SELATAN,99.23,99.25,99.29,99.43,99.49,93.22,93.34,93.55,93.2,93.22,70.85,70.89,71.21,70.81,71,34.44,34.51,35.08,35.07,34.47
SULAWESI TENGGARA,99.13,99.1,99.16,99.05,99.2,94.78,94.98,95.06,94.8,95,74.03,74.5,75.02,74.53,74.6,31.27,31.76,31.97,31.81,31.73
GORONTALO,98.96,98.92,99.02,98.93,98.69,91.64,91.8,92.05,91.83,91.85,71.44,71.43,71.3,71.68,71.7,30.97,31.04,31.66,30.06,33.2
SULAWESI BARAT,98.34,98.33,98.19,98.4,98.31,89.92,90.07,90.12,89.39,89.47,69.31,69.84,71.22,70.85,71.57,23.64,23.24,23.8,23.43,23.98
MALUKU,99.61,99.5,99.52,99.55,99.59,97.29,97.43,97.65,97.69,97.97,79.65,79.87,79.68,79.03,79.9,38.58,38.59,39.03,40.15,37.41
